Nama,Harga,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Sertifikat,Daya Listrik,Kamar Tidur Pembantu,Kamar Mandi Pembantu,Garasi,Jumlah Lantai,Kondisi Properti
"RUMAH BARU 2025 3 LANTAI LEBAR JALAN 2 MOBIL DURI KEPA, JAKARTA BARAT","Rp 1,69 Miliar",2,3,44 m²,94 m²,1,SHM,2200 Watt,1,1,2,2,Bagus
"RUMAH TOKO DURI KEPA, JAKARTA BARAT BRAND NEW 3LT BEBAS BANJIR","Rp 2,65 Miliar",4,2,99 m²,189 m²,3,SHM,2200 Watt,1,1,2,2,Bagus
"RUMAH TANAH DURI KEPA, JAKARTA BARAT 1¼LANTAI BEBAS BANJIR MAU HITUNG","Rp 4,6 Miliar",4,1,362 m²,300 m²,1,SHM,2200 Watt,1,1,1,2,Bagus
Rumah 1.5 Lantai Duri Kepa Dekat Sekolah Dan Pusat Kuliner Greenville Jakarta Barat,"Rp 1,9 Miliar",5,3,90 m²,93 m²,1,SHM,Lainnya,2,1,1,2,Bagus
Rumah Mewah Siap Huni JL Hang Tuah IX Kebayoran Baru Jaksel,"Rp 36,3 Miliar",3,3,687 m²,965 m²,1,HGB,11000 Watt,2,1,1,2,Bagus
Rumah Murah Hitung Tanah Raffles Hills Depok,Rp 5 Miliar,6,5,500 m²,724 m²,2,HGB,Lainnya,2,1,1,2,Bagus
Rumah Dalam Townhouse Exclusive Siap Huni,Rp 8 Miliar,5,6,205 m²,300 m²,1,SHM,10600 Watt,1,1,1,2,Renovasi Minimum
Rumah Cck Kantor Lt 712 Di Jl Simprug Golf Jakarta Selatan,"Rp 34,9 Miliar",5,5,712 m²,1500 m²,1,SHM,11000 Watt,3,1,1,4,Renovasi Minimum
Rumah Bagus Lt 242 Di Sunter Agung Jakarta Utara,"Rp 3,9 Miliar",4,5,242 m²,368 m²,1,SHM,8000 Watt,2,1,1,4,Bagus
Rumah Bagus Lt 355 Di Wilayah Kebayoran Lama Jakarta Selatan,"Rp 5,4 Miliar",5,4,355 m²,475 m²,1,SHM,Lainnya,2,1,1,2,Bagus
Dijual Rumah Mewah Murah Komplek Kebayoran Lama Jakarta Selatan,"Rp 5,4 Miliar",4,6,363 m²,280 m²,1,SHM,Lainnya,1,1,1,2,Bagus
Dijual Rumah Mewah Komplek Kebayoran Lama Jakarta Selatan,Rp 8 Miliar,7,4,356 m²,450 m²,1,SHM,Lainnya,2,1,2,3,Baru
Rumah 2 Lantai Jaksel Tanjung Barat Hook Nego Sampao Deal ,"Rp 6,9 Miliar",7,4,345 m²,350 m²,1,SHM,7700 Watt,2,1,1,3,Sudah Renovasi
"Dijual Rumah Jln Raya Pejagalan Kota. Lt 108 M2 4,5x24 Lb 288m2 4 Lantai","Rp 4,8 Miliar",6,4,108 m²,288 m²,1,Lainnya,Lainnya,2,1,4,3,Baru
"Dijual Rumah Jln Raya Pejagalan Kota. Lt 108 M2 4,5x24 Lb 288m2 4 Lantai","Rp 4,8 Miliar",4,6,108 m²,288 m²,1,Lainnya,Lainnya,1,1,4,3,Bagus
Dijual Rumah Mewah Cluster Premium Luas 1000m Ada Lift Dan Pool,Rp 65 Miliar,5,4,1091 m²,2000 m²,1,SHM,7700 Watt,2,1,6,3,Bagus
Dijual Rumah Pantai Indah Kapuk Luas 230m 2.5 Lantai Shm Furnished Lokasi Bagus Hadap Selatan Best Price,"Rp 9,4 Miliar",4,5,230 m²,400 m²,1,SHM,4400 Watt,2,1,2,2,Bagus
"Dijual Rumah Bukit Golf Mediterania Pik Uk 12x23m 2,5 Lantai Shm Jarang Ada !",Rp 11 Miliar,3,4,276 m²,450 m²,1,SHM,4400 Watt,1,1,6,2,Renovasi Total
Djual Rumah Golf Lake Cengkareng Uk 6x15m Renovasi Full Bangunan Cocok Untuk Pakai Sendiri Atau Invest,"Rp 2,7 Miliar",2,3,90 m²,130 m²,1,HGB,4400 Watt,1,1,2,4,Bagus
Dijual Rumah Brand New Bangunan Kontraktor Di Pantai Indah Kapuk Luas 260m2 Type Hoek 3 Lantai Marmer Siap Huni ,"Rp 13,5 Miliar",4,2,260 m²,600 m²,4,Lainnya,5500 Watt,1,1,3,2,Renovasi Minimum
Dijual Rumah Muara Karang Uk 6x15m Siap Huni Rapih Jalan 2 Mobil,"Rp 2,35 Miliar",5,4,90 m²,117 m²,4,SHM,4400 Watt,1,1,2,4,Bagus
Dijual Rumah Golf Island 12x35m View Golf Ada Lift Dan Swimming Pool,Rp 26 Miliar,4,5,420 m²,900 m²,6,Lainnya,5500 Watt,1,1,6,2,Renovasi Minimum
"Dijual Rumah Pantai Indah Kapuk View Danau Mluas 670m, Lb 1100, Ruang Karaoke , Gym,  Rooftop , Shm , Modern Minimalis Bangunan Kontraktor",Rp 65 Miliar,4,3,670 m²,1100 m²,2,SHM,7700 Watt,1,2,4,2,Bagus
Dijual Rumah Pantai Mutiara Luas 540m2 Siap Huni Shm,"Rp 17,5 Miliar",4,4,540 m²,800 m²,6,SHM,4400 Watt,2,1,6,2,Renovasi Minimum
"Dijual Rumah Brand New Bangunan Kontraktor Type Hoek Di Golf Island Luas 255m2 3,5 Lantai Marmer Siap Huni ",Rp 15 Miliar,6,5,255 m²,550 m²,2,Lainnya,4400 Watt,1,1,2,1,Bagus
"Dijual Cepat, Rumah Brand New Golf Island The Chopin Signature, Full Furnished, Mewah, Sudah Renovasi Ada Pool, Siap Huni!!","Rp 11,5 Miliar",3,6,200 m²,450 m²,3,HGB,Lainnya,1,1,2,2,Bagus
Rumah di Pik Katamaran Indah Swimming Pool Brandnew,"Rp 16,8 Miliar",6,2,358 m²,800 m²,2,Lainnya,Lainnya,1,1,2,2,Bagus
Dijual Cepat Rumah Cempaka Puith. Jakarta Pusat,Rp 8 Miliar,3,6,365 m²,355 m²,6,SHM,7700 Watt,1,1,6,2,Bagus
Dijual Rumah Komplek Pejaten Jakarta Selatan,"Rp 4,5 Miliar",3,2,160 m²,290 m²,4,SHM,Lainnya,1,1,1,2,Bagus
"Jual rumah lama dlm komplek one gate. Dkt penvil, mampang, psr minggu. Ingin lekas terjual. Nego Max",Rp 6 Miliar,5,2,200 m²,140 m²,6,SHM,2200 Watt,2,1,3,2,Bagus
Rumah murah siap huni rapi jarang ada di Citra Garden 1,"Rp 1,75 Miliar",4,5,120 m²,150 m²,2,SHM,3500 Watt,1,1,4,2,Bagus
Dijual Rumah Murah Cilandak Jakarta Selatan,"Rp 6,3 Miliar",4,4,205 m²,400 m²,2,SHM,Lainnya,1,1,2,2,Bagus
