Nama,Harga,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Sertifikat,Daya Listrik,Kamar Tidur Pembantu,Kamar Mandi Pembantu,Garasi,Jumlah Lantai,Kondisi Properti
Dijual Rumah Dekat Halte Busway Jatipadang Pasar Minggu Jaksel,"Rp 2,7 Miliar",4,2,150 m²,90 m²,6,SHM,3500 Watt,1,1,2,2,Bagus
"Rumah Rapi Siap Huni SHM Legenda Wisata, Jakarta Timur","Rp 1,35 Miliar",1,1,120 m²,250 m²,11,SHM,Lainnya,1,1,2,3,Baru
Rumah bagus 2 Lantai lokasi strategis di Koja Jakarta Utara,Rp 420 Juta,10,11,39 m²,50 m²,3,SHM,Lainnya,1,1,2,3,Bagus
Dijual Kost Baru 3 Lantai Di Tanjung Duren Selatan,"Rp 3,4 Miliar",3,3,65 m²,185 m²,6,SHM,7700 Watt,1,1,1,2,Butuh Renovasi
"3 Lantai, Luas Tanah 160 m2, Ada Kolam Renang, Cipinang Indah 2, Rumah di Jakarta Timur","Rp 3,85 Miliar",5,5,160 m²,350 m²,4,SHM,5500 Watt,3,1,2,2,Bagus
Dijual Bu Cepat!!! Rumah Dalam Komp One Gate. Rempoa Jakarta Selatan,"Rp 4,9 Miliar",3,2,280 m²,600 m²,6,SHM,5500 Watt,2,1,2,2,Bagus
Perumahan Strategis & Lingkungan Nyaman Di Jakarta Timur ,"Rp 2,5 Miliar",6,6,105 m²,160 m²,2,SHM,2200 Watt,1,1,1,3,Baru
Rumah Grisenda Uk 19x16 Termurah Ada Kolam Renang Siap Huni,"Rp 12,8 Miliar",3,4,290 m²,900 m²,3,SHM,16500 Watt,1,1,2,1,Renovasi Minimum
Smart House Akses Jalan Lebar 2 Mobil,"Rp 1,58 Miliar",3,2,52 m²,112 m²,2,SHM,Lainnya,1,1,2,2,Bagus
RUMAH KESEDERHANAAN,Rp 2 Miliar,2,2,40 m²,40 m²,1,SHM,2200 Watt,1,1,1,3,Butuh Renovasi
